visitor_id,referrer,page,user_agent,id,created_date,updated_date,created_by_id,created_by,is_sample
"jsmduel6ylpmonrnbbg","direct","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","69f66054eae9cf1c23fbb5e4","2026-05-02T20:36:36.953000","2026-05-02T20:36:36.953000","69ee32c21259f0511987060d","elimcoen@gmail.com","false"
"3khnnta18qqmonqjw02","https://app.base44.com/","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","69f6600ade38d117e43098e7","2026-05-02T20:35:22.918000","2026-05-02T20:35:22.918000","69ee32c21259f0511987060d","elimcoen@gmail.com","false"
"kk6nmbx7xhmonrdhd8","https://app.base44.com/","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","69f660011e513d30033f8161","2026-05-02T20:35:13.522000","2026-05-02T20:35:13.522000","69ee32c21259f0511987060d","elimcoen@gmail.com","false"
"3khnnta18qqmonqjw02","https://app.base44.com/","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","69f65fdfd960ae861d6d8b58","2026-05-02T20:34:39.803000","2026-05-02T20:34:39.803000","69ee32c21259f0511987060d","elimcoen@gmail.com","false"
"kk6nmbx7xhmonrdhd8","https://app.base44.com/","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","69f65fdcb9f984be6ee0ee6e","2026-05-02T20:34:36.091000","2026-05-02T20:34:36.091000","69ee32c21259f0511987060d","elimcoen@gmail.com","false"
"kk6nmbx7xhmonrdhd8","https://app.base44.com/","/movies","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","69f65f5cb4ea43afbf5eface","2026-05-02T20:32:28.445000","2026-05-02T20:32:28.445000","69ee32c21259f0511987060d","elimcoen@gmail.com","false"
"kk6nmbx7xhmonrdhd8","https://app.base44.com/","/movies/69f605a982b50fe953e000dd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","69f65f559f80263537122525","2026-05-02T20:32:21.255000","2026-05-02T20:32:21.255000","69ee32c21259f0511987060d","elimcoen@gmail.com","false"
"kk6nmbx7xhmonrdhd8","https://app.base44.com/","/movies","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","69f65f4ea35c1ea5ccc65927","2026-05-02T20:32:14.908000","2026-05-02T20:32:14.908000","69ee32c21259f0511987060d","elimcoen@gmail.com","false"
"kk6nmbx7xhmonrdhd8","https://app.base44.com/","/settings","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","69f65f4e0f4dd9fd8428c9ac","2026-05-02T20:32:14.183000","2026-05-02T20:32:14.183000","69ee32c21259f0511987060d","elimcoen@gmail.com","false"
"3khnnta18qqmonqjw02","https://app.base44.com/","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","69f65f4d82bbb7db334ce011","2026-05-02T20:32:13.576000","2026-05-02T20:32:13.576000","69ee32c21259f0511987060d","elimcoen@gmail.com","false"
